# Train        Test        
    0.894617     0.960800 
    0.951217     0.973200 
    0.960150     0.976800 
    0.965450     0.975800 
    0.967983     0.979600 
    0.970900     0.984900 
    0.972733     0.985100 
    0.975083     0.982400 
    0.975900     0.984200 
    0.976367     0.985300 
    0.977083     0.984600 
    0.979017     0.985500 
    0.979433     0.986600 
    0.981117     0.986100 
    0.981483     0.986300 
    0.981900     0.985800 
    0.982417     0.986300 
    0.983217     0.982900 
    0.982800     0.988700 
    0.983400     0.984200 
    0.984817     0.989500 
    0.984733     0.989100 
    0.985200     0.988900 
    0.985967     0.987800 
    0.985683     0.990200 
    0.986950     0.988100 
    0.986150     0.989300 
    0.987333     0.989500 
    0.986550     0.989500 
    0.987300     0.988600 
    0.987783     0.988700 
    0.987950     0.990400 
    0.988517     0.989800 
    0.988317     0.989500 
    0.988267     0.990500 
    0.989283     0.990200 
    0.989300     0.988400 
    0.989267     0.989900 
    0.990183     0.990300 
    0.989850     0.991300 
    0.989917     0.988600 
    0.989767     0.990600 
    0.990350     0.989400 
    0.989983     0.990800 
    0.990500     0.990700 
    0.990900     0.990200 
    0.990867     0.990300 
    0.990900     0.990700 
    0.990700     0.991200 
    0.991650     0.991400 
    0.991433     0.985000 
    0.991533     0.991300 
    0.991433     0.991200 
    0.991150     0.990500 
    0.991500     0.991900 
    0.991683     0.991700 
    0.992017     0.990800 
    0.992217     0.991500 
    0.992150     0.991700 
    0.992217     0.989600 
    0.992800     0.992200 
    0.992883     0.990300 
    0.992917     0.990800 
    0.993167     0.991700 
    0.992833     0.991100 
    0.992900     0.991100 
    0.992683     0.992400 
    0.992983     0.991800 
    0.993300     0.991900 
    0.992433     0.992800 
    0.993233     0.991900 
    0.993117     0.991500 
    0.993300     0.990800 
    0.993150     0.990900 
    0.994100     0.990600 
    0.993750     0.991000 
    0.993400     0.991800 
    0.993733     0.991600 
    0.993733     0.991200 
    0.993767     0.991700 
    0.993067     0.990900 
    0.994150     0.991900 
    0.993650     0.992800 
    0.994250     0.991800 
    0.994333     0.992600 
    0.994217     0.991400 
    0.994117     0.991400 
    0.993917     0.990800 
    0.994283     0.992300 
    0.994250     0.991200 
    0.994350     0.991500 
    0.993917     0.992600 
    0.994683     0.991700 
    0.994600     0.991400 
    0.994517     0.992800 
    0.994317     0.990400 
    0.994233     0.992000 
    0.994800     0.991000 
    0.994583     0.991700 
    0.994250     0.991500 
