# Train        Test        
    0.341698     0.186556 
    0.157760     0.081733 
    0.126206     0.073410 
    0.110828     0.075073 
    0.102708     0.061407 
    0.093884     0.051486 
    0.086091     0.047676 
    0.080675     0.052521 
    0.075692     0.050362 
    0.073500     0.044184 
    0.073587     0.063477 
    0.066663     0.043850 
    0.065683     0.042583 
    0.060731     0.045742 
    0.058717     0.041260 
    0.057544     0.043078 
    0.055253     0.043204 
    0.053979     0.052813 
    0.052971     0.033203 
    0.051467     0.044485 
    0.047650     0.042274 
    0.048209     0.033829 
    0.046867     0.036548 
    0.044363     0.035018 
    0.043411     0.031459 
    0.042359     0.035228 
    0.041963     0.032830 
    0.038630     0.031843 
    0.042047     0.030703 
    0.039447     0.030476 
    0.037579     0.037785 
    0.037372     0.028761 
    0.036047     0.030732 
    0.035165     0.030048 
    0.036891     0.027973 
    0.035312     0.029030 
    0.033032     0.032912 
    0.032680     0.030530 
    0.031262     0.027400 
    0.031636     0.027298 
    0.030904     0.034239 
    0.031450     0.027379 
    0.029848     0.031323 
    0.029673     0.026265 
    0.028824     0.026075 
    0.028455     0.028763 
    0.027640     0.029125 
    0.028215     0.025880 
    0.027970     0.028437 
    0.026508     0.025286 
    0.026328     0.042146 
    0.026159     0.022817 
    0.025563     0.026792 
    0.026143     0.024957 
    0.024159     0.024944 
    0.025339     0.024600 
    0.023999     0.026884 
    0.023632     0.025504 
    0.023687     0.025326 
    0.023898     0.030228 
    0.022585     0.028764 
    0.022300     0.027904 
    0.021936     0.025933 
    0.021377     0.025045 
    0.021979     0.025048 
    0.021625     0.023933 
    0.021810     0.023689 
    0.020928     0.025284 
    0.021039     0.025634 
    0.021606     0.023515 
    0.021070     0.025916 
    0.021017     0.024907 
    0.019838     0.026604 
    0.020254     0.026108 
    0.018515     0.026206 
    0.019170     0.025520 
    0.020167     0.025017 
    0.019154     0.027474 
    0.019026     0.023778 
    0.018482     0.023946 
    0.020039     0.027713 
    0.017370     0.024575 
    0.018619     0.023941 
    0.017502     0.023843 
    0.017296     0.022832 
    0.017325     0.024395 
    0.017409     0.025558 
    0.017778     0.024315 
    0.017572     0.021516 
    0.016399     0.026301 
    0.017114     0.027052 
    0.017433     0.022316 
    0.016125     0.024195 
    0.016419     0.025204 
    0.016355     0.023872 
    0.016077     0.025956 
    0.016862     0.023847 
    0.015722     0.032749 
    0.015615     0.026187 
    0.016318     0.024576 
