# Train        Test        
    0.801933     0.945200 
    0.907750     0.949300 
    0.921467     0.948500 
    0.929283     0.961600 
    0.935350     0.965100 
    0.940217     0.962600 
    0.943083     0.964600 
    0.947050     0.967700 
    0.948183     0.971400 
    0.951867     0.970100 
    0.952467     0.970700 
    0.954117     0.971600 
    0.954650     0.974300 
    0.957717     0.973900 
    0.957400     0.976500 
    0.957783     0.976400 
    0.960300     0.977500 
    0.960233     0.975200 
    0.960883     0.978500 
    0.962850     0.976200 
    0.962550     0.978400 
    0.963967     0.977000 
    0.965200     0.976900 
    0.964583     0.980100 
    0.965033     0.977800 
    0.967050     0.980000 
    0.966933     0.981000 
    0.967300     0.981500 
    0.968483     0.980100 
    0.968900     0.981700 
    0.969117     0.980800 
    0.970300     0.981400 
    0.969217     0.981800 
    0.970117     0.982600 
    0.969650     0.982700 
    0.971133     0.981800 
    0.971833     0.981800 
    0.970983     0.984200 
    0.972217     0.982600 
    0.971983     0.982400 
    0.971883     0.982400 
    0.972850     0.982500 
    0.973100     0.982900 
    0.973600     0.981800 
    0.974300     0.981900 
    0.973533     0.983700 
    0.973517     0.983200 
    0.974517     0.983400 
    0.974217     0.984000 
    0.974300     0.983500 
    0.974883     0.982700 
    0.974883     0.983400 
    0.975650     0.983400 
    0.975167     0.983400 
    0.975767     0.984000 
    0.976217     0.983700 
    0.975950     0.984000 
    0.976350     0.983900 
    0.976850     0.984500 
    0.976633     0.984400 
    0.976917     0.984800 
    0.976200     0.984000 
    0.977100     0.984700 
    0.977050     0.984100 
    0.976767     0.983800 
    0.976400     0.985800 
    0.977667     0.985500 
    0.977383     0.984300 
    0.977300     0.985800 
    0.977933     0.985500 
    0.977633     0.984800 
    0.978333     0.985600 
    0.978650     0.985400 
    0.977933     0.985100 
    0.978017     0.986000 
    0.978067     0.985300 
    0.978667     0.985900 
    0.978567     0.986700 
    0.978917     0.986100 
    0.979300     0.986300 
    0.978850     0.984000 
    0.978617     0.985300 
    0.978733     0.984900 
    0.979117     0.985800 
    0.979317     0.985700 
    0.979083     0.985500 
    0.979800     0.985600 
    0.979667     0.985800 
    0.979217     0.985400 
    0.980300     0.985900 
    0.980517     0.986200 
    0.980217     0.986200 
    0.980033     0.985300 
    0.980183     0.986100 
    0.981033     0.984900 
    0.981183     0.985700 
    0.981250     0.985000 
    0.980783     0.985300 
    0.981417     0.986400 
    0.981300     0.986400 
