# Train        Test        
    0.392544     0.176659 
    0.239416     0.167550 
    0.210520     0.149321 
    0.194289     0.125025 
    0.177958     0.109535 
    0.171833     0.118700 
    0.164164     0.111476 
    0.158248     0.100817 
    0.152601     0.100551 
    0.149008     0.098966 
    0.145127     0.102916 
    0.141551     0.097027 
    0.138394     0.083000 
    0.134470     0.092456 
    0.132844     0.086755 
    0.128918     0.085847 
    0.125912     0.079843 
    0.122580     0.083085 
    0.118639     0.074248 
    0.117358     0.073422 
    0.115235     0.072302 
    0.113196     0.067478 
    0.109428     0.075555 
    0.109808     0.067043 
    0.108042     0.082480 
    0.104578     0.071933 
    0.103017     0.064316 
    0.101517     0.062741 
    0.101174     0.061511 
    0.099525     0.060693 
    0.098340     0.062145 
    0.097604     0.067442 
    0.096623     0.059294 
    0.095129     0.067488 
    0.095098     0.058241 
    0.095281     0.061556 
    0.092980     0.057933 
    0.094452     0.062046 
    0.090770     0.059484 
    0.092471     0.075752 
    0.090367     0.058769 
    0.090964     0.058157 
    0.089748     0.059631 
    0.089739     0.060288 
    0.089227     0.064481 
    0.089888     0.055119 
    0.089511     0.059206 
    0.089242     0.061213 
    0.089111     0.061570 
    0.092063     0.055300 
    0.089502     0.060598 
    0.088578     0.052308 
    0.086110     0.059129 
    0.085914     0.056834 
    0.084754     0.055252 
    0.086317     0.054813 
    0.084645     0.064556 
    0.085033     0.055137 
    0.082931     0.054086 
    0.084955     0.059385 
    0.084632     0.052532 
    0.085062     0.055110 
    0.082406     0.053513 
    0.082559     0.054450 
    0.080746     0.058334 
    0.081946     0.075627 
    0.080497     0.057141 
    0.080500     0.055179 
    0.078971     0.053432 
    0.079405     0.051200 
    0.077730     0.053164 
    0.078549     0.049746 
    0.076051     0.049622 
    0.077405     0.047853 
    0.075366     0.046746 
    0.077024     0.052136 
    0.075466     0.047198 
    0.074504     0.048256 
    0.073298     0.044842 
    0.072507     0.050104 
    0.070690     0.050632 
    0.070856     0.047994 
    0.070303     0.052489 
    0.070981     0.049408 
    0.069325     0.048902 
    0.070418     0.046527 
    0.067466     0.044350 
    0.068549     0.043540 
    0.068011     0.045525 
    0.066175     0.048599 
    0.064212     0.046466 
    0.063411     0.046759 
    0.063887     0.049415 
    0.062605     0.046096 
    0.062057     0.047598 
    0.062520     0.044356 
    0.061909     0.056894 
    0.063045     0.046516 
    0.061905     0.040300 
    0.063753     0.040203 
