# Train        Test        
    0.130409     0.134833 
    0.140044     0.138526 
    0.144115     0.134595 
    0.147511     0.153215 
    0.148931     0.156992 
    0.150269     0.147243 
    0.153277     0.126792 
    0.152930     0.165961 
    0.153398     0.157225 
    0.155806     0.133650 
    0.156791     0.164637 
    0.156411     0.163060 
    0.159068     0.131367 
    0.159542     0.150361 
    0.158930     0.171349 
    0.160506     0.151219 
    0.162156     0.145214 
    0.161549     0.172433 
    0.161208     0.149428 
    0.162414     0.142499 
    0.163456     0.174820 
    0.163299     0.160092 
    0.164422     0.137645 
    0.165864     0.158169 
    0.163728     0.174850 
    0.165397     0.140802 
    0.166004     0.153008 
    0.165349     0.172498 
    0.166177     0.158367 
    0.167916     0.151513 
    0.166769     0.171651 
    0.166152     0.173929 
    0.167922     0.139987 
    0.168797     0.160521 
    0.167642     0.171471 
    0.169756     0.140459 
    0.170986     0.147734 
    0.169360     0.178516 
    0.169353     0.156778 
    0.172337     0.153701 
    0.171318     0.177285 
    0.170744     0.158949 
    0.171502     0.147878 
    0.171713     0.168035 
    0.170897     0.170422 
    0.173593     0.131177 
    0.173240     0.167310 
    0.171328     0.181616 
    0.172473     0.156544 
    0.174148     0.116743 
    0.173203     0.175882 
    0.171931     0.163541 
    0.174830     0.156903 
    0.171702     0.171764 
    0.171774     0.154253 
    0.172827     0.133770 
    0.173956     0.155080 
    0.172802     0.176521 
    0.173346     0.159216 
    0.174589     0.153757 
    0.173478     0.181229 
    0.173384     0.155946 
    0.175213     0.137425 
    0.173899     0.174238 
    0.172561     0.164496 
    0.174969     0.143302 
    0.175180     0.175732 
    0.173335     0.172346 
    0.176029     0.133512 
    0.175677     0.149566 
    0.174455     0.185194 
    0.175041     0.152773 
    0.176407     0.160530 
    0.175933     0.182736 
    0.175443     0.150168 
    0.176277     0.122478 
    0.176097     0.179582 
    0.175497     0.173517 
    0.176632     0.140809 
    0.176165     0.165755 
    0.175363     0.180918 
    0.176786     0.140462 
    0.178277     0.158637 
    0.176226     0.185987 
    0.177185     0.164631 
    0.178094     0.145153 
    0.177694     0.174061 
    0.177335     0.168738 
    0.179914     0.147022 
    0.178547     0.179481 
    0.175879     0.182913 
    0.178004     0.169174 
    0.179411     0.166292 
    0.178098     0.186009 
    0.178151     0.168739 
    0.178310     0.150522 
    0.176659     0.184625 
    0.177361     0.170684 
    0.177928     0.120836 
    0.178742     0.176231 
    0.176620     0.188445 
    0.178812     0.143398 
    0.178579     0.153475 
    0.177871     0.188795 
    0.180076     0.161169 
    0.181415     0.155681 
    0.180443     0.179628 
    0.179655     0.165001 
    0.180455     0.153142 
    0.180104     0.165890 
    0.178152     0.174034 
    0.179322     0.125446 
    0.180510     0.181572 
    0.178447     0.187603 
    0.180851     0.143031 
    0.181532     0.153823 
    0.181086     0.184808 
    0.180314     0.163417 
    0.181108     0.127742 
    0.179585     0.180821 
    0.178937     0.175034 
    0.182192     0.117335 
    0.181804     0.174652 
    0.181118     0.183473 
    0.181125     0.144129 
    0.182557     0.153968 
    0.179771     0.189617 
    0.179086     0.156345 
    0.181614     0.167255 
    0.180840     0.171752 
    0.181298     0.178954 
    0.182544     0.148558 
    0.182964     0.174752 
    0.181468     0.188395 
    0.181183     0.140054 
    0.181385     0.158015 
    0.179973     0.191314 
    0.180615     0.164314 
    0.183859     0.145684 
    0.182681     0.188157 
    0.180706     0.183957 
    0.181875     0.159221 
    0.182119     0.174417 
    0.179837     0.176084 
    0.183310     0.146118 
    0.183692     0.154374 
    0.181411     0.189435 
    0.181005     0.170815 
    0.183558     0.147340 
    0.182796     0.188100 
    0.181999     0.150322 
    0.183628     0.130229 
    0.183372     0.176536 
    0.181551     0.178360 
    0.183526     0.150989 
    0.183646     0.156840 
    0.181959     0.185101 
    0.181710     0.141987 
    0.183473     0.158412 
    0.183468     0.188622 
    0.182466     0.162334 
    0.184637     0.155869 
    0.183763     0.184354 
    0.181805     0.160546 
    0.184694     0.155425 
    0.183717     0.169123 
    0.182211     0.190891 
    0.183453     0.147562 
    0.184848     0.166499 
    0.183003     0.195295 
    0.183547     0.152173 
    0.185151     0.118599 
    0.182771     0.188910 
    0.181923     0.141508 
    0.186107     0.152170 
    0.184434     0.181097 
    0.182682     0.177873 
    0.184201     0.164408 
    0.184727     0.169030 
    0.182860     0.187384 
    0.184203     0.159379 
    0.185047     0.144280 
    0.181997     0.182685 
    0.183605     0.167937 
    0.184688     0.163033 
    0.183676     0.193861 
    0.182552     0.188530 
    0.184358     0.154509 
    0.185107     0.175292 
    0.183526     0.189186 
    0.183866     0.149033 
    0.185818     0.162542 
    0.184266     0.196026 
    0.184345     0.175291 
    0.185971     0.124384 
    0.185120     0.184138 
    0.183725     0.161464 
    0.185588     0.163037 
    0.185241     0.175937 
    0.183191     0.177122 
    0.184449     0.145249 
    0.184631     0.162001 
    0.182813     0.187044 
    0.182676     0.161407 
    0.183732     0.144850 
    0.184107     0.190698 
    0.184062     0.173368 
    0.185430     0.117405 
    0.185409     0.173005 
    0.184341     0.177134 
    0.185752     0.145546 
    0.186103     0.164886 
    0.185805     0.188438 
    0.185116     0.157886 
    0.186709     0.167642 
    0.184123     0.187692 
    0.184610     0.174619 
    0.186576     0.159137 
    0.186639     0.191025 
    0.185624     0.185731 
    0.187385     0.156132 
    0.187049     0.156397 
    0.184335     0.185027 
    0.185641     0.139490 
    0.187543     0.167163 
    0.184533     0.196209 
    0.185057     0.177569 
    0.186907     0.144142 
    0.186158     0.185846 
    0.185265     0.144965 
    0.186709     0.177354 
    0.187033     0.189546 
    0.185277     0.183257 
    0.186501     0.152291 
    0.187273     0.164774 
    0.185784     0.182431 
    0.185309     0.139078 
    0.186876     0.141223 
    0.185549     0.179211 
    0.185191     0.172194 
    0.187466     0.162463 
    0.186303     0.180964 
    0.184145     0.186777 
    0.186629     0.146332 
    0.185076     0.136642 
    0.184357     0.191873 
    0.185306     0.155918 
    0.185580     0.141104 
    0.184266     0.179771 
    0.184802     0.166003 
    0.185488     0.142201 
    0.186729     0.183184 
    0.184917     0.180048 
    0.187490     0.171721 
    0.186541     0.142288 
    0.183899     0.186770 
    0.184790     0.133441 
    0.185333     0.149034 
    0.183783     0.193959 
    0.185359     0.164497 
    0.186569     0.163065 
    0.188170     0.182086 
    0.187348     0.180270 
    0.187802     0.136346 
    0.187839     0.164721 
    0.185370     0.188993 
    0.185877     0.141861 
    0.186628     0.162229 
    0.185225     0.190762 
    0.185677     0.151862 
    0.186218     0.166829 
    0.186132     0.189855 
    0.185402     0.177676 
    0.185914     0.138689 
    0.185891     0.175371 
    0.183846     0.182639 
    0.186310     0.152562 
    0.187627     0.161145 
    0.186262     0.185958 
    0.185549     0.152676 
    0.186471     0.112486 
    0.185505     0.193976 
    0.185142     0.160123 
    0.185866     0.144247 
    0.186006     0.187673 
    0.185836     0.166634 
    0.187944     0.159610 
    0.187474     0.176119 
    0.186378     0.186050 
    0.187042     0.135634 
    0.188029     0.141073 
    0.186790     0.200263 
    0.185507     0.152163 
    0.187017     0.124789 
    0.187294     0.187265 
    0.186954     0.166595 
    0.188694     0.155875 
    0.187032     0.189678 
    0.185663     0.186598 
    0.187608     0.145157 
    0.188398     0.157808 
    0.185725     0.191657 
    0.185901     0.177014 
    0.189075     0.160883 
    0.187394     0.184146 
    0.185384     0.173500 
    0.187983     0.161553 
    0.188014     0.182799 
    0.187157     0.188943 
    0.186417     0.161714 
    0.188038     0.173547 
    0.186226     0.190371 
    0.186943     0.142710 
    0.188043     0.125553 
    0.187168     0.192387 
    0.186528     0.174779 
    0.187548     0.151162 
    0.185743     0.176290 
    0.185931     0.175407 
    0.186806     0.156225 
    0.187830     0.170364 
    0.185127     0.186410 
    0.186028     0.145738 
    0.187505     0.132862 
    0.187057     0.190363 
    0.184970     0.145479 
    0.186813     0.128777 
    0.187876     0.179344 
    0.186861     0.171652 
    0.186116     0.142483 
    0.187171     0.176376 
    0.184643     0.183912 
    0.186771     0.131239 
    0.187498     0.163367 
    0.186796     0.191884 
    0.186930     0.181597 
    0.188249     0.134362 
    0.186291     0.184691 
    0.184346     0.166065 
    0.188489     0.116649 
    0.186845     0.187678 
    0.185872     0.177558 
    0.187484     0.083166 
    0.186395     0.170111 
    0.186332     0.184883 
    0.186286     0.169306 
    0.187991     0.110485 
    0.186018     0.187531 
    0.186859     0.172724 
    0.187989     0.154669 
    0.186660     0.173763 
    0.186569     0.183264 
    0.187258     0.139064 
    0.189115     0.168827 
    0.186765     0.189820 
    0.188341     0.139234 
    0.188038     0.141667 
    0.186194     0.196053 
    0.186391     0.157343 
    0.187575     0.130094 
    0.187650     0.184329 
    0.186332     0.184116 
    0.188786     0.130580 
    0.188791     0.151499 
    0.185472     0.182117 
    0.188197     0.128937 
    0.188320     0.175217 
    0.185613     0.188904 
    0.186500     0.165369 
    0.188834     0.136489 
    0.186604     0.185228 
    0.186290     0.175978 
    0.189369     0.160419 
    0.188165     0.179373 
    0.184764     0.182026 
    0.187983     0.141285 
    0.187805     0.151144 
    0.187097     0.197122 
    0.187355     0.166033 
    0.187844     0.156325 
    0.187415     0.193499 
    0.186066     0.162188 
    0.189896     0.126734 
    0.188227     0.180195 
    0.185740     0.181117 
    0.188598     0.154044 
    0.188715     0.145941 
    0.187631     0.189954 
    0.188570     0.115275 
    0.188903     0.162610 
    0.187588     0.193083 
    0.186902     0.142646 
    0.189079     0.153817 
    0.188497     0.187399 
    0.186696     0.188997 
    0.189851     0.130677 
    0.188000     0.166713 
    0.187158     0.195455 
    0.188664     0.158857 
    0.189427     0.152535 
    0.188151     0.190543 
    0.188959     0.152196 
    0.190803     0.168438 
    0.187778     0.192080 
    0.187357     0.147739 
    0.189415     0.094851 
    0.189339     0.180268 
    0.187931     0.176395 
    0.189757     0.162461 
    0.188605     0.158286 
    0.186586     0.198134 
    0.189257     0.171903 
    0.189703     0.161803 
    0.188810     0.191262 
    0.188835     0.181434 
    0.189644     0.148491 
    0.188015     0.188755 
    0.187579     0.186900 
    0.187951     0.115828 
    0.188398     0.168857 
    0.187147     0.190244 
    0.187567     0.163679 
    0.188870     0.173141 
    0.186143     0.194432 
    0.187677     0.177984 
    0.188498     0.161348 
    0.188759     0.184694 
    0.185809     0.180490 
    0.187810     0.147662 
    0.189869     0.176835 
    0.185679     0.151821 
    0.187389     0.148458 
    0.188376     0.178912 
    0.185814     0.193934 
    0.186960     0.171256 
    0.188768     0.136053 
    0.186473     0.181575 
    0.186064     0.177700 
    0.188416     0.119908 
    0.187945     0.176286 
    0.185564     0.182107 
    0.187679     0.139432 
    0.188863     0.160873 
    0.186739     0.194179 
    0.187014     0.161705 
    0.187663     0.113018 
    0.186781     0.193143 
    0.186568     0.170849 
    0.188589     0.139478 
    0.187954     0.174087 
    0.185990     0.180348 
    0.187968     0.109318 
    0.187706     0.160797 
    0.185927     0.183019 
    0.187705     0.151433 
    0.189718     0.109821 
    0.187290     0.192030 
    0.186281     0.172949 
    0.187977     0.155681 
    0.187375     0.182642 
    0.186514     0.182181 
    0.187704     0.145211 
    0.189442     0.173108 
    0.185150     0.193126 
    0.188017     0.152584 
    0.189168     0.147336 
    0.186415     0.193027 
    0.186241     0.169336 
    0.188226     0.120283 
    0.187258     0.187719 
    0.187611     0.176292 
    0.188133     0.128475 
    0.187699     0.181836 
    0.185175     0.185845 
    0.186687     0.132055 
    0.188733     0.162419 
    0.187162     0.195031 
    0.188041     0.173119 
    0.189616     0.165069 
    0.186996     0.192942 
    0.186134     0.181693 
    0.188004     0.115602 
    0.187586     0.172368 
    0.187169     0.184607 
    0.188158     0.138176 
    0.187167     0.178211 
    0.186185     0.184497 
    0.187454     0.137553 
    0.187159     0.104650 
    0.187229     0.199608 
    0.187118     0.160174 
    0.188165     0.163782 
    0.187165     0.189455 
    0.186148     0.182780 
    0.188038     0.153220 
    0.188864     0.164945 
    0.186432     0.186655 
    0.188037     0.124585 
    0.188340     0.161168 
    0.186955     0.197168 
