# Train        Test        
    0.200168     0.153591 
    0.195713     0.159289 
    0.197624     0.156334 
    0.198670     0.177839 
    0.210542     0.177657 
    0.213364     0.172913 
    0.208102     0.154241 
    0.205385     0.148862 
    0.201074     0.167512 
    0.195051     0.163638 
    0.190556     0.174313 
    0.192187     0.158117 
    0.194508     0.147815 
    0.195312     0.157454 
    0.202951     0.169286 
    0.210709     0.172651 
    0.211030     0.172547 
    0.213511     0.166446 
    0.210295     0.168460 
    0.203742     0.162438 
    0.201146     0.169708 
    0.197902     0.150488 
    0.193716     0.158425 
    0.192911     0.159259 
    0.198859     0.149055 
    0.199394     0.155254 
    0.210507     0.168136 
    0.210749     0.176032 
    0.212460     0.166020 
    0.214543     0.174419 
    0.206454     0.157378 
    0.203748     0.164686 
    0.200818     0.168356 
    0.197127     0.146919 
    0.197787     0.163708 
    0.196775     0.159890 
    0.197724     0.161444 
    0.206387     0.176365 
    0.210731     0.173076 
    0.216091     0.175869 
    0.209986     0.156928 
    0.206871     0.152235 
    0.209167     0.168180 
    0.199082     0.166743 
    0.196478     0.166269 
    0.197012     0.147780 
    0.196534     0.168291 
    0.202485     0.157921 
    0.203841     0.164632 
    0.208555     0.180252 
    0.213174     0.169108 
    0.213762     0.170453 
    0.211327     0.180519 
    0.208208     0.166366 
    0.203850     0.144455 
    0.197270     0.155851 
    0.199201     0.149779 
    0.197581     0.164819 
    0.201468     0.161288 
    0.203326     0.148976 
    0.210400     0.181455 
    0.212783     0.182176 
    0.217399     0.169307 
    0.216824     0.157763 
    0.208136     0.165933 
    0.205965     0.158022 
    0.203105     0.163069 
    0.202363     0.159195 
    0.199189     0.154761 
    0.198662     0.170215 
    0.201595     0.172372 
    0.209328     0.170478 
    0.210790     0.174988 
    0.216627     0.180232 
    0.217624     0.172988 
    0.213524     0.149482 
    0.209842     0.161958 
    0.203152     0.160836 
    0.201152     0.171215 
    0.199662     0.150093 
    0.195256     0.171883 
    0.203585     0.178413 
    0.203438     0.171202 
    0.208588     0.171366 
    0.215728     0.174122 
    0.214833     0.166636 
    0.216983     0.163014 
    0.211490     0.155818 
    0.208155     0.171588 
    0.202226     0.161695 
    0.198818     0.185857 
    0.198762     0.163466 
    0.199639     0.178864 
    0.203764     0.166244 
    0.210839     0.167615 
    0.212720     0.164951 
    0.216911     0.184558 
    0.216922     0.159144 
    0.207896     0.166797 
    0.206693     0.164452 
    0.202570     0.162339 
    0.196209     0.152351 
    0.195913     0.158260 
    0.198899     0.170030 
    0.200981     0.154442 
    0.208132     0.172392 
    0.215995     0.163687 
    0.222176     0.173921 
    0.218485     0.179518 
    0.217396     0.156823 
    0.210014     0.173887 
    0.206680     0.159686 
    0.197681     0.166294 
    0.196572     0.171994 
    0.201041     0.175712 
    0.199583     0.175660 
    0.204486     0.160600 
    0.208809     0.178758 
    0.219242     0.180890 
    0.221687     0.161470 
    0.213504     0.164706 
    0.212356     0.152376 
    0.208743     0.158287 
    0.201882     0.165733 
    0.202550     0.149347 
    0.197435     0.162136 
    0.203085     0.172368 
    0.206269     0.161966 
    0.211044     0.170057 
    0.219636     0.165714 
    0.221780     0.175191 
    0.221744     0.181621 
    0.217996     0.161407 
    0.207981     0.181594 
    0.203794     0.158398 
    0.203538     0.150027 
    0.201076     0.164747 
    0.201033     0.173915 
    0.207935     0.163745 
    0.207830     0.170360 
    0.216747     0.181132 
    0.222418     0.156798 
    0.220149     0.167763 
    0.216971     0.164097 
    0.214614     0.180959 
    0.211364     0.157772 
    0.200953     0.167784 
    0.203051     0.169292 
