# Train        Test        
   92.966054    95.879211 
   93.510618    99.200287 
   93.036679    97.814812 
   91.724390    90.528824 
   91.094796    91.355659 
   90.093064    83.138695 
   90.967847    93.759399 
   90.960809    89.405273 
   91.964073    91.666183 
   92.874769    96.377922 
   93.193885    95.801323 
   93.128124    84.235947 
   93.229208    89.375908 
   92.871956    95.878532 
   91.577092    97.019691 
   90.481947    91.359917 
   89.650742    98.542664 
   89.206344    86.752182 
   90.474510    87.048187 
   90.897485    91.088539 
   92.273371    87.361626 
   92.717260    92.059349 
   92.816051    92.257225 
   93.326436    79.909134 
   92.675673    92.165771 
   92.025232    91.307503 
   90.576947    92.192055 
   89.755333    88.163994 
   89.636522    94.378906 
   89.930549    87.510979 
   90.510165    95.709518 
   92.009570    91.334763 
   92.162940    96.228172 
   93.189032    88.791832 
   92.788457    91.261223 
   92.960941    87.351219 
   92.213085    97.915520 
   91.085883    95.083603 
   90.340266    94.395340 
   89.409881    87.887283 
   90.277936    95.747139 
   90.333068    91.853073 
   91.130725    98.503281 
   92.216923    99.066734 
   92.598846    96.780952 
   92.679588    86.934357 
   92.661041    98.207069 
   92.522150    84.014153 
   90.879192    84.783783 
   90.554088    85.987724 
   89.351882    92.022720 
   89.253236    92.208450 
   89.733791    78.316643 
   90.327420    88.158569 
   91.816208    89.439232 
   92.585785    90.238426 
   93.023919    98.844231 
   92.479753    97.560661 
   91.921176   102.706299 
   91.157041    94.120178 
   90.187951    95.695030 
   89.561193    92.323189 
   89.479012    90.416740 
   89.342212    94.928284 
   90.178836    83.768089 
   91.313352    84.953918 
   91.424373    85.533546 
   92.649985    91.786781 
   92.348607    88.590523 
   92.509231    89.512688 
   91.548329    91.501091 
   90.904035    95.408493 
   90.052511    89.286400 
   89.160575    85.805977 
   88.975597    81.976341 
   89.489132    89.190742 
   90.663440    92.366989 
   92.216724    93.298897 
   92.605106   100.476181 
   92.168692    93.233086 
   92.638146    88.935989 
   92.148181   106.120338 
   91.480691    79.526947 
   90.834279    89.557320 
   89.342740    90.329941 
   89.001320   100.077759 
   89.694064    91.610580 
   90.433963   101.517204 
   90.734486   102.303833 
   92.044818    90.919601 
   92.449964    99.966728 
   92.445655    89.228378 
   92.361731    92.943192 
   91.772273    94.321815 
   90.521073    98.413261 
   89.881824    90.842903 
   89.096601    92.761314 
   89.412302    90.601494 
   90.343274    90.818779 
   91.203522    81.445541 
   91.619367    91.498123 
   92.288284    90.137405 
   92.389116    93.677254 
   92.600820    76.927597 
   92.102747   104.846512 
   90.595783    89.257401 
   89.402440    92.129791 
   88.284935    83.973892 
   88.504622    83.810493 
   88.915848    93.882011 
   90.377816    93.717308 
   90.973914    89.766670 
   92.524186   101.867874 
   93.245113    94.313461 
   92.038718    98.252510 
   91.822644    98.711365 
   91.895312    97.307640 
   90.265052    90.542999 
   88.980240    89.714661 
   88.646125    83.222275 
   89.098533   102.195961 
   89.408140    96.698357 
   90.861247    94.145866 
   91.985862    91.067322 
