# Train        Test        
    5.291909     6.197119 
    5.157107     5.474578 
    5.086146     5.420126 
    5.037800     5.331207 
    5.017795     5.031810 
    4.982992     4.667115 
    4.954213     5.686818 
    4.946520     5.674948 
    4.927636     5.050263 
    4.902317     5.170285 
    4.897544     4.597655 
    4.890416     4.490324 
    4.863697     4.991467 
    4.855189     4.878781 
    4.860701     4.620829 
    4.839290     4.994722 
    4.822090     4.988714 
    4.823174     4.865638 
    4.816498     5.159582 
    4.800729     4.332674 
    4.803545     4.845417 
    4.798124     5.013991 
    4.781015     5.360987 
    4.775363     4.529952 
    4.786325     5.047873 
    4.768377     4.418432 
    4.760989     4.694579 
    4.759572     4.053571 
    4.756571     5.249504 
    4.740070     4.461935 
    4.752674     4.614604 
    4.750948     4.444196 
    4.732625     5.236754 
    4.730988     5.038452 
    4.729936     4.590564 
    4.715568     4.274523 
    4.706134     4.679857 
    4.722087     4.851028 
    4.711681     4.289109 
    4.693178     5.626909 
    4.703617     4.999665 
    4.698987     4.766670 
    4.686398     5.165352 
    4.694112     5.010549 
    4.693582     4.667476 
    4.679856     4.474191 
    4.676806     4.759005 
    4.686772     4.607476 
    4.670702     4.335921 
    4.656441     5.146591 
    4.675317     5.778667 
    4.670470     4.429784 
    4.653563     4.677782 
    4.667014     3.542442 
    4.663942     4.353147 
    4.654194     4.729148 
    4.649310     4.352268 
    4.662801     5.005075 
    4.651884     4.500764 
    4.641866     4.588059 
    4.651589     4.280446 
    4.643253     4.417377 
    4.630650     4.537777 
    4.646098     5.259223 
    4.645571     5.275825 
    4.629982     4.698640 
    4.631339     4.149929 
    4.640437     4.536957 
    4.626250     5.037509 
    4.615650     4.575755 
    4.629999     4.543408 
    4.621752     4.127166 
    4.612047     4.561868 
    4.625765     4.786219 
    4.622126     4.578768 
    4.603986     4.340832 
    4.611312     4.504821 
    4.613215     4.922455 
    4.598215     5.347632 
    4.605069     4.653057 
    4.608528     4.812276 
    4.593093     4.742085 
    4.591608     4.472256 
    4.600798     5.071060 
    4.592853     4.739268 
    4.577416     5.337893 
    4.592484     4.397575 
    4.591901     4.398178 
    4.577071     5.197891 
    4.583924     4.588339 
    4.590170     4.047169 
    4.581633     4.223028 
    4.563901     4.215559 
    4.585917     4.345410 
    4.582872     4.412789 
    4.567588     5.461866 
    4.581706     4.370198 
    4.586810     4.051630 
    4.565778     4.377346 
    4.572332     4.226871 
    4.580146     4.728407 
    4.565913     5.304108 
    4.563606     5.103683 
    4.572860     5.034060 
    4.561072     4.457232 
    4.549018     4.171579 
    4.565682     4.732936 
    4.564358     4.366495 
    4.553230     3.902668 
    4.556406     4.553192 
    4.565236     4.086045 
    4.550158     4.240946 
    4.550839     4.752984 
    4.562265     4.644553 
    4.548644     4.350383 
    4.544884     4.803389 
    4.551453     4.544721 
    4.549193     4.884248 
    4.538827     4.327229 
    4.547453     4.994224 
    4.560684     4.204556 
    4.537057     4.562593 
    4.529866     4.713512 
    4.547468     4.857971 
    4.542403     5.353706 
    4.530668     4.706728 
    4.546867     4.923318 
    4.543077     4.322334 
    4.523456     3.985901 
    4.537417     4.375175 
    4.540044     4.866575 
    4.524772     5.004344 
    4.529476     5.396426 
    4.539502     4.493594 
    4.528700     5.495605 
    4.520878     4.670075 
    4.540080     4.560285 
    4.530234     4.846648 
    4.516426     4.561647 
    4.524356     4.596016 
    4.531342     5.120023 
    4.514534     4.492923 
    4.525282     4.514042 
    4.535186     4.420868 
    4.509403     4.293241 
    4.516619     4.515013 
    4.525870     4.525466 
    4.521284     4.348516 
    4.505953     4.248069 
    4.522494     4.007344 
    4.525005     4.370504 
    4.503122     4.606700 
    4.513722     4.577054 
    4.519490     4.367038 
    4.502555     4.723244 
    4.503753     4.462037 
    4.517829     3.910826 
    4.506865     4.974565 
    4.493197     4.929451 
    4.514412     4.916990 
    4.508881     4.754949 
    4.490848     5.015793 
    4.507956     4.956310 
    4.516055     4.733774 
    4.494494     4.501997 
    4.501109     4.409585 
    4.510268     4.378515 
    4.499924     4.712022 
    4.493718     4.472559 
    4.509037     4.319457 
    4.504341     5.559816 
    4.487669     4.131304 
    4.503742     3.804222 
    4.506533     4.775524 
    4.484876     3.722109 
    4.498240     4.468058 
    4.499882     4.805441 
    4.494154     5.112766 
    4.486480     4.711569 
    4.506278     4.109944 
    4.490492     4.354743 
    4.482895     5.021829 
    4.499560     4.144453 
    4.491719     4.790583 
    4.488218     4.772518 
    4.488896     4.682516 
    4.501076     5.495087 
    4.478241     4.683163 
    4.484998     4.148306 
    4.500375     4.768999 
    4.488528     4.765734 
    4.478170     4.851692 
    4.495391     4.908638 
    4.490321     4.480657 
    4.471984     5.175822 
    4.481939     4.355647 
    4.490894     4.370765 
    4.470982     4.808226 
    4.481699     4.452064 
    4.490559     4.699887 
    4.480736     5.785812 
    4.473040     4.701498 
    4.490137     4.702797 
    4.487239     4.565805 
    4.472955     5.145414 
    4.478510     4.481877 
    4.485006     4.162964 
    4.468332     4.609589 
    4.480416     4.154855 
    4.479258     4.884399 
    4.475221     4.650767 
