# Train        Test        
    0.792933     0.939600 
    0.904617     0.949500 
    0.919800     0.957900 
    0.929183     0.961900 
    0.934017     0.959700 
    0.940850     0.961200 
    0.942717     0.961700 
    0.945817     0.967700 
    0.948033     0.970400 
    0.950250     0.971900 
    0.951883     0.973500 
    0.954067     0.971700 
    0.954650     0.972000 
    0.956967     0.973100 
    0.957367     0.973800 
    0.958817     0.974700 
    0.958783     0.977700 
    0.961217     0.975200 
    0.961883     0.977100 
    0.961733     0.977200 
    0.962717     0.977600 
    0.964017     0.977200 
    0.964133     0.978100 
    0.965950     0.978100 
    0.965550     0.977900 
    0.966967     0.980700 
    0.966817     0.980300 
    0.966833     0.980300 
    0.968850     0.980500 
    0.968117     0.978700 
    0.968467     0.982500 
    0.970083     0.981100 
    0.969000     0.980600 
    0.970367     0.980300 
    0.969867     0.982500 
    0.971067     0.981200 
    0.971517     0.981100 
    0.971800     0.980900 
    0.971267     0.981300 
    0.971817     0.982400 
    0.972117     0.981400 
    0.972800     0.982200 
    0.972667     0.982500 
    0.973400     0.982800 
    0.973583     0.982200 
    0.973017     0.982000 
    0.973667     0.982100 
    0.973283     0.982400 
    0.973933     0.982700 
    0.974617     0.981900 
    0.974450     0.983500 
    0.974333     0.982400 
    0.975283     0.982200 
    0.974500     0.982900 
    0.974467     0.981000 
    0.976917     0.982200 
    0.975133     0.983000 
    0.975750     0.982500 
    0.975300     0.984200 
    0.975700     0.984900 
    0.975700     0.984800 
    0.975850     0.984200 
    0.975483     0.984300 
    0.976217     0.986600 
    0.975717     0.982300 
    0.976250     0.985100 
    0.976117     0.985500 
    0.976000     0.985300 
    0.976283     0.985100 
    0.977100     0.983500 
    0.977700     0.984300 
    0.976883     0.984700 
    0.977483     0.985800 
    0.977317     0.985200 
    0.977800     0.984600 
    0.977950     0.984800 
    0.977100     0.983400 
    0.977583     0.984800 
    0.978083     0.985200 
    0.977683     0.985000 
    0.978217     0.985400 
    0.978067     0.985100 
    0.978150     0.984100 
    0.977850     0.984500 
    0.978767     0.983800 
    0.978633     0.984700 
    0.979067     0.987000 
    0.979433     0.986800 
    0.978383     0.985500 
    0.978000     0.985800 
    0.978817     0.984500 
    0.979433     0.984600 
    0.979733     0.986400 
    0.979017     0.986200 
    0.979533     0.984700 
    0.979350     0.986100 
    0.979267     0.987200 
    0.979933     0.984100 
    0.979383     0.986100 
    0.979333     0.985400 
