# Train        Test        
    0.402316     0.183930 
    0.246360     0.165135 
    0.214788     0.142304 
    0.194688     0.127066 
    0.182607     0.120008 
    0.171745     0.122923 
    0.166830     0.118550 
    0.159843     0.102239 
    0.156561     0.102632 
    0.151617     0.103692 
    0.147156     0.090449 
    0.143538     0.100083 
    0.138221     0.091453 
    0.133259     0.096341 
    0.130022     0.082992 
    0.126549     0.083910 
    0.125302     0.076258 
    0.121377     0.080177 
    0.118866     0.074239 
    0.116688     0.077219 
    0.114254     0.081140 
    0.111889     0.076355 
    0.110254     0.069764 
    0.108607     0.081689 
    0.108351     0.070889 
    0.105320     0.068009 
    0.104161     0.070066 
    0.103484     0.071665 
    0.101517     0.063590 
    0.101387     0.071961 
    0.099681     0.071984 
    0.098855     0.062698 
    0.099236     0.065138 
    0.097923     0.067401 
    0.097052     0.061689 
    0.095967     0.064087 
    0.094338     0.062312 
    0.094657     0.061975 
    0.094597     0.062836 
    0.093832     0.060044 
    0.093249     0.064400 
    0.092269     0.062900 
    0.091817     0.060946 
    0.092068     0.063225 
    0.091136     0.059351 
    0.091887     0.062512 
    0.091212     0.061685 
    0.091788     0.061601 
    0.091026     0.060989 
    0.090902     0.066858 
    0.090840     0.063860 
    0.090668     0.077975 
    0.089015     0.062372 
    0.089287     0.063382 
    0.089650     0.061858 
    0.087394     0.060395 
    0.088090     0.062108 
    0.088001     0.062439 
    0.087788     0.056825 
    0.086598     0.056405 
    0.086749     0.059618 
    0.084739     0.060479 
    0.085305     0.060483 
    0.085469     0.058628 
    0.084792     0.059774 
    0.084129     0.059195 
    0.084386     0.055944 
    0.084361     0.055421 
    0.083674     0.058911 
    0.083411     0.058210 
    0.082339     0.062802 
    0.083026     0.052445 
    0.081796     0.057607 
    0.081901     0.054802 
    0.082352     0.055348 
    0.081547     0.055366 
    0.081519     0.055400 
    0.081023     0.058469 
    0.081159     0.052305 
    0.081411     0.052836 
    0.080358     0.050478 
    0.080442     0.055311 
    0.079704     0.056235 
    0.079452     0.057437 
    0.078577     0.053588 
    0.077780     0.057765 
    0.078192     0.050334 
    0.076818     0.046812 
    0.077107     0.052893 
    0.076993     0.051476 
    0.076238     0.058544 
    0.076495     0.049490 
    0.075955     0.047250 
    0.075239     0.054926 
    0.075838     0.051566 
    0.074893     0.046327 
    0.074378     0.050100 
    0.073959     0.054528 
    0.074618     0.054549 
    0.074344     0.050193 
