# Train        Test        
    0.320712     0.192805 
    0.296160     0.170490 
    0.262987     0.143556 
    0.242400     0.139323 
    0.210037     0.125654 
    0.182594     0.119075 
    0.183988     0.119444 
    0.147919     0.144200 
    0.138454     0.130924 
    0.152710     0.105640 
    0.130867     0.122424 
    0.112027     0.103621 
    0.098980     0.095367 
    0.114453     0.114986 
    0.083611     0.085674 
    0.088407     0.077969 
    0.097062     0.108650 
    0.099013     0.127964 
    0.107900     0.086848 
    0.093223     0.105023 
    0.108735     0.106812 
    0.088594     0.089588 
    0.070361     0.088291 
    0.086234     0.096386 
    0.083992     0.079051 
    0.079252     0.084920 
    0.074577     0.086350 
    0.072174     0.094787 
    0.076122     0.089168 
    0.070338     0.082176 
    0.075520     0.085881 
    0.084902     0.097232 
    0.076022     0.082112 
    0.077587     0.081324 
    0.071453     0.069115 
    0.071766     0.094186 
    0.089324     0.082646 
    0.075058     0.072341 
    0.067408     0.068141 
    0.055716     0.065819 
    0.059204     0.069385 
    0.074446     0.077627 
    0.063612     0.083801 
    0.052404     0.075369 
    0.061981     0.066433 
    0.106083     0.123418 
    0.071623     0.089996 
    0.061317     0.078772 
    0.058027     0.072625 
    0.072651     0.082335 
    0.056298     0.084570 
    0.060304     0.078465 
    0.061459     0.074894 
    0.054608     0.062929 
    0.058994     0.061041 
    0.059190     0.071532 
    0.077692     0.095400 
    0.060741     0.061707 
    0.066811     0.082801 
    0.078941     0.066596 
    0.063304     0.063075 
    0.049250     0.058534 
    0.049670     0.061838 
    0.060505     0.055024 
    0.052483     0.058168 
    0.038034     0.057572 
    0.046268     0.056660 
    0.047362     0.063065 
    0.049507     0.056309 
    0.040351     0.054516 
    0.036153     0.061742 
    0.035162     0.060283 
    0.039437     0.067804 
    0.043048     0.056786 
    0.032822     0.055813 
    0.034269     0.054477 
    0.035994     0.056329 
    0.051593     0.052571 
    0.042790     0.052837 
    0.039602     0.059101 
    0.040211     0.058664 
    0.033414     0.057862 
    0.035208     0.058991 
    0.039997     0.061308 
    0.049598     0.054072 
    0.042156     0.054504 
    0.035257     0.057856 
    0.052816     0.056315 
    0.034835     0.059167 
    0.033546     0.059690 
    0.048111     0.061068 
    0.053107     0.059808 
    0.041772     0.060994 
    0.038483     0.055711 
    0.040041     0.052730 
    0.042310     0.053470 
    0.044014     0.052387 
    0.045006     0.048560 
    0.053381     0.059703 
    0.044322     0.053494 
    0.037640     0.055792 
    0.040009     0.057160 
    0.034137     0.057263 
    0.034394     0.049432 
    0.045732     0.059204 
    0.046711     0.051960 
    0.039670     0.052218 
    0.046168     0.053197 
    0.049156     0.055729 
    0.035981     0.059436 
    0.035359     0.050808 
    0.031898     0.052876 
    0.036380     0.054810 
    0.036380     0.049362 
    0.035062     0.053352 
    0.042261     0.060011 
    0.049299     0.059592 
    0.035634     0.052886 
    0.031531     0.058261 
    0.041320     0.060823 
    0.034765     0.054351 
    0.030093     0.057464 
    0.032419     0.057120 
    0.026213     0.052623 
    0.030812     0.053091 
    0.031946     0.051877 
    0.033978     0.049220 
    0.038368     0.054207 
    0.030909     0.053276 
    0.039660     0.055797 
    0.032830     0.049890 
    0.038992     0.049626 
    0.036228     0.050952 
    0.030293     0.052123 
    0.032117     0.055014 
    0.026993     0.050789 
    0.033663     0.055666 
    0.029883     0.057803 
    0.026967     0.053897 
    0.031675     0.051668 
    0.041812     0.053194 
    0.033194     0.053724 
    0.039019     0.046643 
    0.051747     0.050411 
    0.023020     0.046631 
    0.034212     0.050105 
    0.036899     0.050002 
    0.033261     0.051893 
    0.041290     0.049392 
    0.032499     0.053250 
    0.031762     0.052828 
    0.037129     0.057436 
    0.025385     0.053442 
    0.035714     0.051683 
    0.030900     0.051388 
    0.026069     0.050378 
    0.035754     0.050629 
    0.025908     0.051064 
    0.034559     0.046592 
    0.030505     0.049642 
    0.030008     0.049940 
    0.036182     0.047203 
    0.026292     0.046481 
    0.027529     0.045519 
    0.026706     0.046460 
    0.032500     0.047914 
    0.034980     0.049653 
    0.025835     0.049280 
    0.033023     0.048082 
    0.031385     0.046755 
    0.028741     0.046924 
    0.037519     0.045276 
    0.029576     0.044734 
    0.024772     0.047664 
    0.025753     0.046485 
    0.032152     0.044949 
    0.028602     0.044769 
    0.030801     0.049553 
    0.037038     0.044808 
    0.029603     0.048331 
    0.028742     0.051002 
    0.036094     0.046798 
    0.030424     0.048381 
    0.028468     0.051261 
    0.028593     0.049483 
    0.032413     0.049401 
    0.035152     0.048477 
    0.028978     0.046906 
    0.028551     0.045782 
    0.028683     0.046992 
    0.032869     0.049918 
    0.037384     0.049716 
    0.025603     0.050132 
    0.028260     0.051051 
    0.025229     0.052737 
    0.034613     0.049089 
    0.027067     0.049265 
    0.031634     0.052210 
    0.032267     0.053304 
    0.025019     0.049148 
