# Train        Test        
    0.065569     0.102456 
    0.115353     0.124957 
    0.135097     0.126215 
    0.147760     0.148448 
    0.157100     0.144783 
    0.163092     0.141727 
    0.169385     0.161309 
    0.173479     0.145270 
    0.180047     0.133822 
    0.181635     0.169522 
    0.186613     0.166388 
    0.189163     0.169880 
    0.192799     0.169090 
    0.194272     0.177763 
    0.195259     0.162489 
    0.198309     0.171344 
    0.198349     0.184894 
    0.200298     0.175896 
    0.200414     0.177542 
    0.201335     0.175197 
    0.207100     0.187457 
    0.207321     0.170538 
    0.214354     0.182645 
    0.214486     0.188958 
    0.214538     0.178959 
    0.211290     0.198338 
    0.218061     0.186703 
    0.215996     0.184736 
    0.217485     0.181466 
