# Train        Test        
    0.032605     0.053565 
    0.070289     0.060977 
    0.089254     0.089894 
    0.100762     0.096967 
    0.105022     0.109297 
    0.110225     0.106748 
    0.119790     0.100591 
    0.118605     0.117050 
    0.121596     0.103836 
    0.122742     0.116118 
    0.128714     0.116667 
    0.125522     0.120482 
    0.129741     0.118809 
    0.129962     0.117495 
    0.135084     0.116956 
    0.135081     0.112118 
    0.135677     0.137530 
    0.134224     0.138348 
    0.137278     0.124382 
    0.137283     0.132337 
    0.141439     0.118025 
    0.142427     0.130827 
    0.141376     0.134870 
    0.146041     0.135460 
    0.145340     0.134820 
    0.147704     0.135217 
    0.148634     0.135030 
    0.149486     0.134255 
    0.149495     0.126991 
    0.149705     0.130088 
    0.150530     0.124793 
    0.150476     0.120234 
    0.153200     0.132461 
    0.150719     0.128963 
    0.154200     0.147734 
    0.156293     0.139739 
    0.154757     0.129580 
    0.155813     0.113966 
    0.158099     0.126199 
    0.158737     0.123706 
    0.159188     0.131146 
    0.156895     0.149099 
    0.157792     0.132530 
    0.157858     0.141178 
    0.161826     0.127838 
    0.161748     0.143412 
    0.165442     0.139705 
    0.162744     0.140592 
    0.162545     0.147549 
    0.159524     0.139099 
    0.163285     0.146842 
    0.164266     0.143643 
    0.166116     0.148305 
    0.163592     0.143270 
    0.168111     0.144983 
    0.166094     0.135334 
    0.168450     0.139973 
    0.168601     0.142396 
    0.168181     0.141456 
    0.163225     0.147930 
    0.169630     0.141694 
    0.168727     0.135868 
    0.170745     0.145708 
    0.170097     0.135136 
    0.174064     0.155398 
    0.171042     0.159568 
    0.172802     0.150424 
    0.168544     0.152529 
    0.170115     0.147014 
    0.171149     0.150968 
    0.172773     0.150150 
    0.175573     0.155990 
    0.178099     0.149172 
    0.179280     0.142829 
    0.176708     0.155296 
    0.173180     0.159031 
    0.176094     0.152227 
    0.176664     0.140917 
    0.181524     0.139811 
    0.181016     0.146407 
    0.181114     0.158570 
    0.180750     0.143847 
    0.180910     0.154019 
    0.176857     0.153105 
    0.180125     0.149971 
    0.181710     0.144539 
    0.183319     0.155378 
    0.182886     0.135839 
    0.179987     0.156949 
    0.182716     0.150748 
    0.183317     0.155711 
    0.183149     0.157368 
    0.185057     0.153128 
    0.180224     0.157368 
    0.188295     0.148142 
    0.185566     0.140858 
    0.187109     0.138863 
    0.188101     0.163340 
    0.187830     0.156800 
    0.188664     0.155387 
    0.188210     0.148412 
    0.185263     0.159383 
    0.191819     0.150788 
    0.190577     0.152125 
    0.189913     0.146483 
    0.188476     0.158405 
    0.190697     0.170372 
    0.185153     0.166286 
    0.187387     0.145114 
    0.188641     0.140212 
    0.193332     0.149281 
    0.190435     0.148686 
    0.190704     0.155048 
    0.198021     0.161747 
    0.190333     0.161695 
    0.193187     0.170860 
    0.192547     0.165389 
    0.197090     0.159659 
    0.194318     0.163564 
    0.197415     0.154186 
    0.193243     0.155989 
    0.195831     0.152201 
    0.195627     0.155638 
    0.195963     0.164596 
    0.192886     0.162910 
    0.190234     0.155293 
    0.202665     0.169999 
    0.201105     0.186069 
    0.202143     0.150621 
    0.194528     0.158768 
    0.198454     0.174350 
    0.206142     0.160157 
    0.197816     0.170462 
    0.197345     0.152342 
    0.204294     0.160969 
    0.200084     0.156369 
    0.203747     0.142714 
    0.197420     0.161545 
    0.195607     0.173950 
    0.200723     0.167966 
    0.193351     0.168891 
    0.203064     0.161052 
    0.203229     0.158715 
    0.206572     0.168550 
    0.203764     0.165634 
    0.205596     0.164605 
    0.203479     0.163296 
    0.204225     0.162446 
    0.206522     0.176848 
    0.207740     0.170088 
    0.204138     0.162500 
    0.206661     0.162157 
    0.208784     0.160151 
    0.208706     0.159833 
    0.203182     0.176656 
    0.205249     0.169307 
    0.203822     0.162220 
    0.209245     0.163535 
    0.208248     0.156324 
    0.206932     0.163158 
    0.210667     0.165251 
    0.209660     0.165455 
    0.207570     0.176330 
    0.205218     0.176532 
    0.208955     0.166393 
    0.208787     0.154917 
    0.207471     0.174878 
    0.214119     0.152184 
    0.210767     0.158139 
    0.207316     0.166618 
    0.207095     0.168635 
    0.210535     0.176649 
    0.210560     0.163696 
    0.217338     0.169736 
    0.213053     0.171712 
    0.217191     0.172371 
    0.214759     0.168486 
    0.214376     0.160201 
    0.212560     0.194579 
    0.213763     0.174109 
    0.210376     0.174776 
    0.214336     0.171758 
    0.214428     0.174223 
    0.218590     0.168944 
    0.212780     0.177053 
    0.217734     0.169401 
    0.213798     0.179379 
    0.213631     0.174413 
    0.211860     0.181136 
    0.214166     0.165077 
    0.216443     0.158330 
    0.216150     0.171860 
    0.216052     0.167652 
    0.216989     0.168412 
    0.218167     0.180481 
    0.216069     0.172504 
    0.212189     0.187691 
    0.215756     0.173798 
    0.215142     0.158073 
    0.218952     0.144934 
