# Train        Test        
  145.683461   117.030708 
  120.886840   133.368546 
  116.520279   133.892746 
  113.217235   113.459198 
  112.543294   102.915085 
  110.865977   104.429497 
  109.417806   133.730164 
  108.893604   101.789581 
  107.892491   100.640198 
  108.221516   113.292114 
  106.960345   106.761978 
  106.653591    94.530388 
  105.573280   119.864120 
  105.427676   116.439774 
  105.003713   111.446266 
  104.551664   109.174576 
  104.338566   111.318123 
  104.337280   110.975815 
  104.322426   101.637680 
  104.247213   109.254303 
  103.430866   102.580498 
  102.772716   109.570824 
  102.647665   107.187531 
  102.545406   103.478607 
  102.798868   118.714264 
  102.100946    99.532875 
  101.680767   100.676201 
  101.895571    82.691010 
  101.876864   112.322311 
  101.474776   100.789246 
  101.455962   105.126045 
  101.008322    93.195007 
  100.774851    99.381119 
  100.999694   105.159927 
  100.408028   111.285477 
  100.314091   106.297493 
  100.483500    80.498482 
   99.790554    91.961334 
   99.460018   124.230019 
   99.261879    86.546837 
   99.718544    85.217239 
   99.736833    96.343704 
   99.866767   112.426353 
   99.781591   106.248566 
   98.730058   103.118378 
   98.609965    88.759995 
   97.649325   101.990387 
   98.602060   100.003128 
   98.037447    92.340759 
   98.417096    93.374428 
   98.552203    82.702515 
   98.245823   103.131744 
   98.334416    72.426254 
   98.460784    89.956879 
   97.898256   100.366631 
   98.090496   105.265556 
   97.560182    82.703804 
   97.616712    90.787697 
   97.428323    89.679756 
   98.126845   108.490891 
   96.829978    96.137184 
   97.411092   114.120674 
   97.126869    86.669853 
   97.228436    89.721680 
   96.623602    98.210594 
   96.551537    94.984535 
   96.981706   103.637398 
   97.190291    86.723091 
   96.680417    83.535614 
   96.585989    91.607254 
   96.838275    90.828133 
   95.962319    79.909103 
   95.618786    93.129997 
   95.726357    88.473915 
   95.588083    97.902443 
   96.442856    89.090248 
   95.611072    95.155373 
   95.130365   110.446571 
   94.813434    82.980125 
   95.029645    93.052750 
   95.262854    87.249367 
   95.308179   101.270927 
   95.836166   103.862053 
   95.631990    95.865059 
   95.782195    84.044121 
   94.857332   104.508972 
   94.467546    93.310387 
   94.776434   101.544128 
   95.116532    89.191910 
   95.217364    96.735466 
   94.861462    90.708527 
   94.593829   115.392532 
   94.486312    99.318100 
   94.534562   102.167953 
   93.700758   109.527130 
   94.190983   101.312500 
   93.740196    94.276947 
   93.570271    99.831589 
   93.751707   103.637779 
   94.107716    85.621346 
   93.804757    76.071678 
   93.672231    78.254143 
   93.456982    94.218567 
   93.411806    81.488861 
   93.295492   103.896683 
   93.756806    76.968033 
   93.365942   104.255684 
   94.098722    92.019150 
   93.997032    94.188911 
   93.943987    84.774551 
   92.830518    89.188683 
   93.291751    81.519478 
   93.498075    86.295509 
   92.263229    88.594772 
   92.917922    86.855438 
   93.564258    91.571915 
   92.733230    83.086700 
   92.434883    81.579102 
   92.459310    76.058258 
   91.845410    91.812515 
   92.607722    95.276573 
   92.249855   102.389542 
   92.600797    92.750420 
   92.586810    91.631027 
   92.981367    96.170250 
   92.921995   111.739220 
   91.663682    99.358818 
   91.635914    81.628456 
   91.491434    89.570755 
   92.594654   110.101166 
   92.383116    83.995125 
   91.767692    87.403358 
   92.404142    86.904831 
   92.043768    89.526352 
   91.322754    86.662285 
   91.250602    90.231537 
   90.937643    79.528389 
   91.758522    73.961975 
   92.404228    97.469711 
   92.023201    96.350563 
   91.752381    90.483116 
   91.489223    81.851135 
   90.851611    90.140251 
   90.911058   103.716965 
   91.171849    82.421341 
   91.301793   104.594994 
   91.436961   100.801697 
   91.339554    85.222954 
   91.358331    76.303253 
   91.002599    85.014427 
   91.373685    78.713112 
   90.692067   102.097710 
   90.654060    94.734566 
   90.818038    76.171158 
   91.630633    95.111870 
   90.643312   103.377831 
   91.339720    87.535637 
   90.231964    72.879639 
   90.131110    81.281944 
   90.535236    75.266647 
   90.372232   102.918892 
   90.131640    93.209763 
   89.912787    93.167145 
   90.791641    89.345642 
   90.258895    79.478325 
   90.123372    81.932480 
   90.356632   102.769264 
   89.556144   102.078377 
   89.674968    86.209251 
   90.368932    97.196609 
   90.552987    96.077759 
   89.995679    83.109329 
   89.549637    76.901825 
   89.688280    82.742981 
   89.218046    93.383827 
   89.027534    77.612350 
   89.744310    86.100616 
   89.223362    83.115166 
   89.709279    72.072365 
   89.716127    93.225067 
   90.118402    95.846062 
   89.551135    89.445786 
   89.194502    91.342834 
   88.801240    79.260040 
   89.464764    89.363884 
   89.024406    96.995621 
   89.125967    89.213425 
   89.251461    79.505051 
   90.268893    99.141869 
   89.825320    96.953323 
   89.683456    88.494621 
   88.803316    79.313965 
   88.833023    88.266228 
   89.217070    83.632896 
   89.053056    69.814720 
   89.369318    75.766365 
   89.293076    72.460648 
   88.984054    96.629066 
   89.073608    96.516464 
   89.202676   100.481110 
